survey_year,value,metric,tenure,breakdown_var,breakdown_val,geography,stat_type
2019-20,48,median_weekly_cost,owner_outright,owner,Owner without a mortgage,Gr. Sydney,median
2019-20,56,median_weekly_cost,owner_outright,owner,Owner without a mortgage,Gr. Melbourne,median
2019-20,52,median_weekly_cost,owner_outright,owner,Owner without a mortgage,Gr. Brisbane,median
2019-20,48,median_weekly_cost,owner_outright,owner,Owner without a mortgage,Gr. Adelaide,median
2019-20,49,median_weekly_cost,owner_outright,owner,Owner without a mortgage,Gr. Perth,median
2019-20,52,median_weekly_cost,owner_outright,owner,Owner without a mortgage,Gr. Hobart,median
2019-20,54,median_weekly_cost,owner_outright,owner,Owner without a mortgage,Gr. Darwin,median
2019-20,69,median_weekly_cost,owner_outright,owner,Owner without a mortgage,ACT,median
2019-20,51,median_weekly_cost,owner_outright,owner,Owner without a mortgage,Total GCC,median
2019-20,49,median_weekly_cost,owner_outright,owner,Owner without a mortgage,Rest of NSW,median
2019-20,50,median_weekly_cost,owner_outright,owner,Owner without a mortgage,Rest of Vic.,median
2019-20,50,median_weekly_cost,owner_outright,owner,Owner without a mortgage,Rest of Qld,median
2019-20,47,median_weekly_cost,owner_outright,owner,Owner without a mortgage,Rest of SA,median
2019-20,43,median_weekly_cost,owner_outright,owner,Owner without a mortgage,Rest of WA,median
2019-20,40,median_weekly_cost,owner_outright,owner,Owner without a mortgage,Rest of Tas.,median
2019-20,49,median_weekly_cost,owner_outright,owner,Owner without a mortgage,Total rest of state,median
2019-20,549,median_weekly_cost,owner_mortgage,owner,Owner with a mortgage,Gr. Sydney,median
2019-20,460,median_weekly_cost,owner_mortgage,owner,Owner with a mortgage,Gr. Melbourne,median
2019-20,446,median_weekly_cost,owner_mortgage,owner,Owner with a mortgage,Gr. Brisbane,median
2019-20,378,median_weekly_cost,owner_mortgage,owner,Owner with a mortgage,Gr. Adelaide,median
2019-20,436,median_weekly_cost,owner_mortgage,owner,Owner with a mortgage,Gr. Perth,median
2019-20,360,median_weekly_cost,owner_mortgage,owner,Owner with a mortgage,Gr. Hobart,median
2019-20,540,median_weekly_cost,owner_mortgage,owner,Owner with a mortgage,Gr. Darwin,median
2019-20,526,median_weekly_cost,owner_mortgage,owner,Owner with a mortgage,ACT,median
2019-20,468,median_weekly_cost,owner_mortgage,owner,Owner with a mortgage,Total GCC,median
2019-20,361,median_weekly_cost,owner_mortgage,owner,Owner with a mortgage,Rest of NSW,median
2019-20,359,median_weekly_cost,owner_mortgage,owner,Owner with a mortgage,Rest of Vic.,median
2019-20,412,median_weekly_cost,owner_mortgage,owner,Owner with a mortgage,Rest of Qld,median
