date,value,series,series_id,category,unit,frequency
2017-09-01,69.2,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2017-10-01,68.92,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2017-11-01,69.3,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2017-12-01,69.72,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2018-01-01,69.63,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2018-02-01,69.65,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2018-03-01,69.81,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2018-04-01,69.97,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2018-05-01,70.15,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2018-06-01,70.52,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2018-07-01,70.37,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2018-08-01,70.13,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2018-09-01,70.35,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2018-10-01,70.48,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2018-11-01,70.58,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2018-12-01,70.71,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2019-01-01,70.43,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2019-02-01,70.46,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2019-03-01,70.6,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2019-04-01,70.46,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2019-05-01,70.31,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2019-06-01,70.36,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2019-07-01,70.37,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2019-08-01,70.09,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2019-09-01,70.46,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2019-10-01,70.49,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2019-11-01,70.49,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2019-12-01,70.67,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2020-01-01,70.75,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2020-02-01,71,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2020-03-01,70.96,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2020-04-01,70.92,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2020-05-01,70.75,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2020-06-01,71.05,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2020-07-01,71.18,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2020-08-01,71.36,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2020-09-01,71.36,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2020-10-01,71.47,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2020-11-01,71.78,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2020-12-01,71.79,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2021-01-01,72.34,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2021-02-01,71.62,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2021-03-01,71.54,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2021-04-01,70.91,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2021-05-01,71.87,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2021-06-01,72.38,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2021-07-01,72.73,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2021-08-01,74.27,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
2021-09-01,74.97,CPI New Dwelling Purchase,A130400605L,House Prices,Index Numbers,Month
